Institution_ID,Institution,Abbrev,Type,Public,Flagship,URL,Location_ID,Land_Grant,Sea_Grant,Space_Grant,Sun_Grant
264,Rhode Island College,RICPSE-RIC,Regional University,Yes,No,https://www.ric.edu/,US-RI-PVD,No,No,No,No
265,Salve Regina University,SALVEREGINA,Regional University,No,No,http://www.salve.edu/,US-RI-NPT,No,No,No,No
266,Brown University,BROWN,National University,No,No,https://www.brown.edu/,PROV-COLLEGEHILL,No,No,No,No
267,University of Central Arkansas,UCABT-UCA,Regional University,Yes,No,http://uca.edu/,US-AR-ADP,No,No,No,No
268,Douglas College,DOUGLASCOL,National University,Yes,No,https://www.douglascollege.ca/,CA-BC-NWW,No,No,No,No
269,The University of British Columbia,UNIBRITCOL,National University,Yes,No,https://www.ubc.ca/,CA-BC-VAN,No,No,No,No
270,Chapman University,CHAPMAN,Regional University,No,No,https://www.chapman.edu/,US-CA-JOR,No,No,No,No
271,St. Luke's School,STLUKESSCHOOL,College Prep,No,No,http://www.stlukesri.org/,US-CT-NWC,No,No,No,No
272,Interdistrict School for Arts and Communications,NLCG-IDSAC,Charter School,Yes,No,http://www.isaacschool.org/,US-CT-NLO,No,No,No,No
274,Dean College,DEANCOL,Regional Colleges,No,No,https://www.dean.edu/,US-MA-FLN,No,No,No,No
275,Bi-County Collaborative,BICOUNTCOL,Special Education,Yes,No,https://www.bicounty.org/,US-MA-FLN,No,No,No,No
276,Springfield Technical Community College,SFTCC,Community College,No,No,http://www.stcc.edu/,US-IL-SPI,No,No,No,No
277,University of Maryland Baltimore County,UMDSYS-UMDBC,National University,Yes,No,http://www.umbc.edu/,US-MD-BAL,Yes,No,Yes,No
278,Georgetown Preparatory School,GTPREP,College Prep,No,No,http://www.gprep.org/,US-MD-TDJ,No,No,No,No
279,University of Michigan,UMBR-UMICH,National University,Yes,Yes,https://umich.edu/,US-MI-ARB,No,Yes,Yes,No
280,University of North Carolina at Chapel Hill,UNCSYS-UNC,National University,Yes,No,http://www.unc.edu/,US-NC-CHE,No,No,No,No
281,Princeton University,PRINCETON,National University,No,No,http://www.princeton.edu/,US-NJ-PCT,No,No,No,No
282,Rockefeller University,ROCKEFELLER,National University,No,No,http://www.rockefeller.edu/,US-NY-MAN,No,No,No,No
283,Yeshiva University,YESHIVA,National University,No,No,http://www.yu.edu/,US-NY-NYC,No,No,No,No
284,Northeast Ohio Medical University,USOH-NEOMED,Medical,Yes,No,http://www.neomed.edu/,US-OH-R34,No,No,No,No
285,Bio-Med Science Academy,NEOMED-BMSA,High School,Yes,No,http://biomedscienceacademy.org/,US-OH-R34,No,No,No,No
286,Youngstown State University,USOH-YOUNGSTOWN,Regional University,Yes,No,http://www.ohsu.edu/,US-OH-YNG,No,No,No,No
287,Oregon Health and Science University,OHSU,Medical,No,No,http://www.ohsu.edu/xd/about/index.cfm,US-OR-PDX,No,No,No,No
288,Oregon State University,BTOSU-OSU,National University,Yes,No,http://oregonstate.edu/,US-OR-CVL,Yes,Yes,Yes,Yes
289,Pope John Paul II High School,PJPHS,High School,No,No,http://www.pjphs.org/,US-PA-UYH,No,No,No,No
290,New England Institute of Technology,NEIT,Regional Colleges,No,No,http://www.neit.edu/,US-RI-UFU,No,No,No,No
291,Middlebridge School,MIDDLEBRIDGE,High School,No,No,http://middlebridgeschool.org/,US-RI-NGU,No,No,No,No
292,Darlington Early Childhood Center,DECC,Elementary School,No,No,,US-MA-PAW,No,No,No,No
293,Portsmouth Abbey School,PORTSAB,High School,No,No,http://www.portsmouthabbey.org/,US-RI-POM,No,No,No,No
294,La Salle Academy,LASALLEAC,High School,No,No,http://www.lasalle-academy.org/,US-RI-PVD,No,No,No,No
295,Rhode Island School of Design,RISD,Regional Colleges,No,No,http://www.risd.edu/,PROV-COLLEGEHILL,No,No,No,No
296,Paul V. Sherlock Center on Disabilities,SHERLOCKCENT,Special Education,No,No,http://www.sherlockcenter.org/,US-RI-PVD,No,No,No,No
297,Johnson & Wales University,JOHNSWALES,Regional University,No,No,http://www.jwu.edu/,US-RI-PVD,No,No,No,No
298,Universidade Federal de Santa Catarina / CNPq,CNPQ,National University,Yes,No,http://propg.ufsc.br/bolsas/cnpq/,BR-SC-FL,No,No,No,No
299,University of North Texas,UNTSYS-UNT,National University,Yes,No,https://www.unt.edu/,US-TX-DTN,No,No,No,No
300,University of North Texas Health Science Center,UNTSYS-HSC,Medical,Yes,No,http://unthsc.edu/,US-TX-FOW,No,No,No,No
301,Université de Lausanne,UNILAUS,National University,Yes,No,https://www.unil.ch/central/en/home.html,CH-VD-LAU,No,No,No,No
302,University of Mississippi,IHL-OLEMISS,National University,Yes,Yes,http://www.olemiss.edu/,US-MS-UOX,No,Yes,Yes,No
303,Mississippi State University,IHL-MSU,National University,Yes,No,http://www.msstate.edu/,US-MS-SXK,Yes,Yes,Yes,No
304,Amirkabir University of Technology,AMIRKABIR,National University,Yes,No,http://aut.ac.ir/aut/,IR-07-THE,No,No,No,No
305,University of Arizona,ABR-UA,National University,Yes,Yes,http://www.arizona.edu/,US-AZ-TUZ,No,No,No,No
306,Arizona State University,ABR-ASU,National University,Yes,No,http://www.asu.edu/,US-AZ-TPE,No,No,No,No
307,Virginia Tech University,VTBV-VT,National University,Yes,No,https://www.vt.edu/,US-VA-BCB,Yes,Yes,Yes,No
308,Stanford University,STANFORD,National University,No,No,https://www.stanford.edu/,US-CA-TNQ,No,No,No,No
309,Endicott College,ENDICOTT,Regional University,No,No,http://www.endicott.edu/,US-MA-BVY,No,No,No,No
310,Medical University of South Carolina,MUSC,Medical,No,No,https://www.musc.edu/,US-SC-CHS,No,No,No,No
311,Wayne State University,WSUBOG-WSU,National University,Yes,No,https://wayne.edu/,US-MI-DET,No,No,No,No
312,Thomas Jefferson University,THOMJEFF,National University,No,No,http://www.jefferson.edu/university.html,PHI-CENTCITY,No,No,No,No
313,Colorado State University,CSUS-CSU,National University,Yes,Yes,http://www.colostate.edu/,US-CO-FNL,Yes,No,No,No
314,University of Louisville,KYCPOSTED-LOUISVILLE,National University,Yes,No,http://louisville.edu/,US-KY-LUI,No,No,No,No
315,University of Nebraska - Lincoln,UNS-UNL,National University,Yes,Yes,http://www.unl.edu/,US-NE-LNK,Yes,No,No,No
316,Vanderbilt University,VANDY,National University,No,No,http://www.vanderbilt.edu/,NASH-WESTEND,No,No,No,No
317,University of Virginia,UVABV-UVA,National University,Yes,Yes,http://www.virginia.edu/,US-VA-CHO,No,No,No,No
318,California Institute of Technology,CALTECH,National University,No,No,http://www.caltech.edu/,US-CA-PSD,No,No,No,No
319,University of Toronto,UTORONTO,National University,Yes,No,https://www.utoronto.ca/,CA-ON-TOR,No,No,No,No
320,"University of California, Santa Barabara",UCALSYS-UCSB,National University,Yes,No,http://www.ucsb.edu/,US-CA-SBA,No,No,Yes,No
